customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00028,Female,0,Yes,No,30,Yes,No,No,No internet service,No,No internet service,Yes,No internet service,No,One year,Yes,Bank transfer,83.26,1662.44,No
CUST00029,Female,1,Yes,No,61,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,96.37,8494.04,Yes
CUST00030,Male,0,Yes,Yes,53,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No,Two year,No,Mailed check,63.38,912.79,Yes
CUST00031,Male,1,No,No,7,No,No,No,No internet service,No internet service,No,No,No,No,Two year,No,Bank transfer,46.72,4361.46,No
CUST00032,Female,0,No,Yes,41,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No internet service,One year,Yes,Bank transfer,96.74,704.99,Yes
CUST00033,Female,1,No,Yes,40,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,Yes,No,One year,Yes,Bank transfer,66.77,6833.7,No
CUST00034,Female,0,No,Yes,58,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No,Yes,One year,No,Credit card,119.96,3475.86,No
CUST00035,Male,0,Yes,Yes,39,No,No,DSL,Yes,No internet service,No internet service,No,No,Yes,One year,Yes,Electronic check,79.25,5513.63,No
CUST00036,Female,0,Yes,Yes,21,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card,104.52,663.39,No
CUST00037,Male,1,No,Yes,23,Yes,No,No,Yes,No,No internet service,Yes,Yes,Yes,One year,No,Electronic check,48.79,3894.84,Yes
CUST00038,Male,1,No,Yes,37,No,No phone service,No,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,62.69,1221.39,No
CUST00039,Male,1,No,No,1,No,No,Fiber optic,No internet service,No,Yes,Yes,No,No,One year,No,Electronic check,44.06,2933.98,No
CUST00040,Male,1,No,Yes,40,No,No,No,No internet service,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,97.54,1716.0,Yes
CUST00041,Male,0,Yes,No,18,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card,95.72,4345.93,No
CUST00042,Female,0,No,Yes,1,Yes,No,DSL,No internet service,No,No,No internet service,No internet service,No,One year,No,Electronic check,79.27,8044.22,Yes
CUST00043,Female,0,Yes,Yes,61,No,Yes,No,No internet service,Yes,No,No internet service,No,No internet service,One year,No,Credit card,93.11,3587.81,No
CUST00044,Female,1,No,Yes,15,Yes,No phone service,No,No internet service,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,56.06,8134.6,Yes
CUST00045,Female,0,No,No,21,Yes,No,No,No internet service,No,No internet service,Yes,No,No,One year,Yes,Mailed check,107.81,6979.01,No
CUST00046,Female,1,No,No,13,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,112.23,6727.31,No
CUST00047,Male,1,Yes,No,55,Yes,Yes,No,No,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer,86.4,7034.18,No
CUST00048,Female,1,No,No,64,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,No internet service,Yes,One year,Yes,Mailed check,57.3,6401.88,No
CUST00049,Female,1,Yes,No,44,No,No phone service,No,No internet service,No internet service,No,Yes,No,No,Month-to-month,Yes,Bank transfer,104.18,1845.42,Yes
CUST00050,Male,1,Yes,No,53,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card,118.06,7548.41,No
CUST00051,Female,0,No,Yes,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card,77.9,3395.92,Yes
CUST00052,Male,1,Yes,Yes,45,No,No phone service,Fiber optic,No,No,No,No,No internet service,No,Two year,No,Credit card,85.98,2437.6,No
CUST00053,Female,1,Yes,No,32,Yes,No phone service,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,One year,Yes,Bank transfer,105.06,7501.07,Yes
CUST00054,Male,0,Yes,No,49,No,No phone service,No,No internet service,No internet service,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,87.27,5562.83,No
CUST00055,Female,1,No,No,21,No,No,DSL,Yes,No internet service,No,No,No internet service,No internet service,Two year,Yes,Bank transfer,39.68,2292.39,Yes
CUST00056,Female,1,Yes,No,39,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,No,Month-to-month,Yes,Credit card,62.31,7991.5,No
CUST00057,Male,0,Yes,No,38,No,No phone service,No,No internet service,Yes,No,Yes,No internet service,No,Two year,No,Electronic check,81.2,4858.79,Yes
CUST00058,Male,0,No,Yes,40,Yes,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,66.38,234.8,Yes
CUST00059,Male,0,No,Yes,67,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,One year,No,Mailed check,88.0,4750.74,Yes
CUST00060,Male,1,Yes,Yes,6,No,Yes,No,Yes,Yes,No internet service,Yes,Yes,Yes,One year,No,Electronic check,48.15,8596.55,No
CUST00061,Male,0,Yes,Yes,70,Yes,No phone service,No,Yes,No,No,No internet service,No,No,One year,No,Mailed check,35.87,1474.8,Yes
CUST00062,Male,0,Yes,Yes,3,No,No phone service,Fiber optic,No,No internet service,No,No,No internet service,Yes,Month-to-month,No,Electronic check,22.84,2722.8,No
CUST00063,Male,0,Yes,Yes,58,No,No,Fiber optic,Yes,No,No internet service,No,No,Yes,Two year,Yes,Credit card,23.89,2071.82,No
CUST00064,Male,1,No,Yes,25,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,55.67,1998.41,No
CUST00065,Female,0,No,Yes,30,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,22.18,713.79,No
CUST00066,Female,1,Yes,No,72,Yes,No phone service,No,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card,47.17,4208.62,No
CUST00067,Male,1,No,No,68,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,71.34,7369.59,Yes
CUST00068,Female,0,Yes,Yes,51,Yes,No,DSL,Yes,No internet service,No,No,No,No,One year,No,Bank transfer,94.42,2175.74,No
CUST00069,Female,1,No,Yes,71,Yes,Yes,No,No internet service,No,Yes,Yes,Yes,No,One year,No,Electronic check,78.89,6406.07,Yes
CUST00070,Female,1,No,Yes,20,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,Yes,Yes,One year,Yes,Mailed check,73.46,5166.02,No
CUST00071,Female,0,Yes,No,15,Yes,No phone service,No,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,44.21,1926.16,Yes
CUST00072,Male,1,Yes,No,50,Yes,No phone service,No,No internet service,No,Yes,Yes,Yes,No,One year,No,Mailed check,21.58,5135.37,No
CUST00073,Female,0,Yes,Yes,15,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,One year,Yes,Credit card,32.98,4712.68,No
CUST00074,Male,1,Yes,No,17,No,Yes,No,No internet service,No internet service,Yes,No,Yes,Yes,One year,Yes,Credit card,118.18,2047.9,No
CUST00075,Female,1,No,Yes,46,No,Yes,No,Yes,Yes,No internet service,Yes,No internet service,No,One year,No,Bank transfer,112.78,172.06,Yes
CUST00076,Female,0,No,Yes,55,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,51.11,3673.88,No
CUST00077,Female,0,Yes,Yes,27,Yes,Yes,DSL,No,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Mailed check,52.1,2922.03,No
CUST00078,Male,1,No,Yes,55,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Electronic check,109.13,2559.78,Yes
CUST00079,Female,1,No,Yes,36,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,Yes,One year,No,Mailed check,27.85,6293.84,No
CUST00080,Male,0,Yes,No,15,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,37.14,6390.91,No
CUST00081,Female,1,Yes,Yes,64,No,No phone service,No,No,No internet service,Yes,No internet service,Yes,No internet service,Two year,Yes,Credit card,31.79,8341.73,No
CUST00082,Male,1,No,Yes,59,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,107.09,266.45,No
CUST00083,Female,1,Yes,Yes,60,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No internet service,Two year,Yes,Electronic check,20.66,8194.97,No
CUST00084,Male,1,Yes,Yes,10,No,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,Two year,No,Mailed check,21.45,6074.87,No
CUST00085,Male,0,No,No,65,Yes,No phone service,No,No,Yes,No,No,Yes,Yes,One year,No,Credit card,101.38,5942.25,No
CUST00086,Female,0,No,Yes,31,Yes,No phone service,No,No,No,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,83.69,8928.66,No
CUST00087,Male,0,Yes,Yes,18,No,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,Yes,One year,Yes,Bank transfer,76.32,718.35,No
CUST00088,Female,0,No,No,55,Yes,No,No,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card,112.29,7232.86,No
CUST00089,Female,0,Yes,Yes,4,Yes,No,No,No,No,No internet service,Yes,No internet service,Yes,One year,No,Bank transfer,68.34,5348.28,No
CUST00090,Female,0,Yes,Yes,2,No,Yes,No,No,No,Yes,No internet service,No,Yes,Two year,No,Bank transfer,66.68,1472.2,No
CUST00091,Female,1,No,Yes,27,Yes,No,Fiber optic,No,No,No,Yes,Yes,No internet service,Two year,Yes,Mailed check,62.08,6941.77,No
CUST00092,Female,0,No,Yes,71,No,No,No,No,No,No internet service,No,No internet service,No,Two year,Yes,Credit card,85.22,3240.65,No
CUST00093,Female,1,Yes,No,28,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,52.32,2289.08,No
CUST00094,Female,1,Yes,Yes,58,No,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No internet service,Two year,Yes,Credit card,86.84,5204.09,Yes
CUST00095,Female,1,Yes,Yes,24,No,No,No,No,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Credit card,90.37,4303.38,No
CUST00096,Female,0,No,No,21,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,Yes,One year,No,Credit card,41.15,1430.68,No
CUST00097,Female,1,Yes,Yes,70,No,No,Fiber optic,No,No,No internet service,Yes,Yes,No,Month-to-month,No,Bank transfer,79.5,6584.9,No
CUST00098,Female,0,No,Yes,22,No,No phone service,No,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer,92.68,2820.97,No
CUST00099,Male,1,Yes,No,69,Yes,No,No,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,116.12,4438.25,Yes
CUST00100,Male,1,No,Yes,39,No,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,113.89,2613.08,No
CUST00101,Female,0,Yes,No,13,No,No,DSL,No internet service,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,40.51,3973.69,Yes
CUST00102,Female,1,No,Yes,28,Yes,Yes,DSL,No,No,Yes,Yes,No internet service,No,One year,No,Credit card,77.73,2261.75,No
CUST00103,Female,1,Yes,No,15,No,No phone service,DSL,No,Yes,Yes,No internet service,Yes,No,Two year,Yes,Bank transfer,66.94,4337.83,No
CUST00104,Female,1,Yes,Yes,9,Yes,Yes,DSL,No internet service,No internet service,Yes,No,No internet service,No,One year,Yes,Credit card,54.92,1462.76,Yes
CUST00105,Female,1,Yes,Yes,46,No,Yes,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Two year,No,Electronic check,54.22,2559.33,Yes
CUST00106,Female,0,Yes,No,3,No,No phone service,No,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,117.09,1934.95,No
CUST00107,Female,1,No,Yes,11,No,Yes,DSL,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,23.66,3260.68,Yes
CUST00108,Female,1,No,No,41,No,No,No,No internet service,No internet service,No,Yes,No,No,Month-to-month,No,Credit card,105.25,7475.46,Yes
CUST00109,Male,0,No,No,3,Yes,No,DSL,No internet service,Yes,No internet service,No,No,No internet service,One year,No,Bank transfer,65.35,4468.54,No
CUST00110,Female,1,No,No,5,No,Yes,DSL,No,No,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,76.67,3827.47,Yes
CUST00111,Male,1,No,No,13,Yes,No,DSL,No internet service,No,No,No,Yes,No,Month-to-month,No,Credit card,93.93,5160.04,No
CUST00112,Female,1,Yes,Yes,34,Yes,No,No,No,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Electronic check,65.64,7065.73,No
CUST00113,Female,1,No,No,46,No,No phone service,No,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,118.73,2686.99,Yes
CUST00114,Male,0,No,Yes,57,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No internet service,Yes,One year,Yes,Credit card,106.76,7266.18,No
CUST00115,Female,1,No,Yes,64,No,No,No,No,Yes,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,41.34,2261.34,No
CUST00116,Male,0,No,No,18,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,No,One year,No,Credit card,87.04,7634.48,No
CUST00117,Female,1,Yes,No,56,No,Yes,Fiber optic,No internet service,Yes,No,No,Yes,No,One year,Yes,Mailed check,67.54,7505.09,Yes
CUST00118,Female,1,Yes,Yes,64,Yes,No,No,No,No internet service,Yes,No,No,No,Two year,No,Credit card,56.11,5325.97,No
CUST00119,Male,1,Yes,No,12,Yes,No phone service,DSL,No,No internet service,No,No,No,Yes,One year,Yes,Mailed check,55.17,3222.62,No
CUST00120,Female,0,Yes,Yes,7,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,36.28,3740.03,No
CUST00121,Male,1,No,No,17,No,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,65.77,7320.97,No
CUST00122,Female,1,No,Yes,34,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,79.57,759.66,Yes
CUST00123,Male,0,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,One year,No,Electronic check,99.83,7085.43,No
CUST00124,Male,0,Yes,No,37,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,Two year,No,Bank transfer,48.88,1216.82,No
CUST00125,Female,0,No,Yes,65,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,One year,Yes,Credit card,97.38,7343.28,No
CUST00126,Female,0,No,Yes,25,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card,75.38,8114.11,No
CUST00127,Male,1,Yes,No,56,Yes,Yes,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Mailed check,45.8,4630.8,Yes
CUST00128,Female,1,Yes,No,24,No,No phone service,DSL,Yes,No,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer,98.7,6780.97,No
CUST00129,Female,1,Yes,No,29,No,Yes,DSL,No internet service,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Credit card,80.29,1837.96,No
CUST00130,Female,1,Yes,No,6,No,No,Fiber optic,Yes,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card,115.49,6949.77,Yes
CUST00131,Male,0,No,No,26,Yes,No phone service,No,Yes,No,Yes,No,No internet service,No,One year,Yes,Mailed check,48.84,6331.82,No
CUST00132,Male,1,No,Yes,10,Yes,Yes,DSL,No internet service,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer,117.31,1050.43,Yes
CUST00133,Male,1,No,Yes,7,No,Yes,No,No internet service,No internet service,Yes,No,Yes,No internet service,Two year,No,Bank transfer,75.56,4546.27,No
CUST00134,Male,1,Yes,No,10,No,Yes,DSL,Yes,Yes,No,Yes,No internet service,No,One year,Yes,Credit card,65.48,6899.91,No
CUST00135,Male,1,No,Yes,29,No,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,107.49,850.86,No
CUST00136,Male,0,No,Yes,14,No,No,DSL,No,Yes,Yes,Yes,No internet service,Yes,Two year,No,Mailed check,35.79,5936.49,No
CUST00137,Male,1,Yes,Yes,55,No,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No internet service,Two year,Yes,Bank transfer,66.2,7215.12,No
CUST00138,Male,1,Yes,Yes,34,No,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Credit card,32.55,3148.13,No
CUST00139,Male,1,Yes,Yes,38,No,No phone service,No,No,No,No,No,Yes,No internet service,Two year,Yes,Bank transfer,81.32,3449.15,No
CUST00140,Female,0,Yes,No,23,No,No phone service,No,Yes,No internet service,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,24.25,2484.67,No
CUST00141,Male,0,Yes,No,7,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,118.02,1699.06,No
CUST00142,Female,1,Yes,Yes,42,No,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,One year,No,Mailed check,20.81,8621.52,Yes
CUST00143,Female,1,No,Yes,41,No,No,No,Yes,No,Yes,No internet service,No internet service,No,Two year,Yes,Mailed check,113.22,6338.06,Yes
CUST00144,Female,1,No,No,40,No,No,No,No internet service,Yes,No,No internet service,Yes,Yes,One year,No,Electronic check,84.42,493.3,No
CUST00145,Male,0,No,No,46,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Credit card,102.28,8350.48,Yes
CUST00146,Male,1,No,No,25,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No,One year,No,Credit card,55.81,1057.24,Yes
CUST00147,Male,1,No,No,51,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,One year,Yes,Bank transfer,44.4,8318.05,No
CUST00148,Male,1,No,Yes,21,Yes,No,No,No internet service,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,37.32,4076.99,No
CUST00149,Female,0,Yes,No,4,Yes,No,Fiber optic,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,73.12,4381.38,No
CUST00150,Male,1,Yes,No,14,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,46.66,4869.72,No
CUST00151,Male,1,Yes,Yes,35,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer,108.01,861.8,No
CUST00152,Male,0,No,No,62,No,No phone service,DSL,No internet service,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,22.99,5990.45,No
CUST00153,Male,0,No,No,48,No,No,Fiber optic,No internet service,No,Yes,No,Yes,No internet service,One year,Yes,Credit card,28.46,5894.38,No
CUST00154,Male,1,Yes,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,41.58,5208.29,No
CUST00155,Female,0,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,28.23,7992.29,Yes
CUST00156,Male,1,Yes,No,59,Yes,No,No,Yes,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer,102.8,4316.32,No
CUST00157,Female,0,Yes,Yes,56,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,No,No,Two year,Yes,Credit card,20.4,6400.64,Yes
CUST00158,Male,0,Yes,Yes,28,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,85.17,3066.78,No
CUST00159,Female,1,No,Yes,18,No,Yes,DSL,No internet service,No,No internet service,No,No,No internet service,One year,No,Bank transfer,65.55,8323.22,No
CUST00160,Male,1,No,Yes,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No internet service,Two year,No,Bank transfer,97.27,8390.37,Yes
CUST00161,Male,1,No,Yes,9,Yes,No,No,No internet service,No,Yes,No,No,No,Two year,Yes,Credit card,61.04,4349.2,No
CUST00162,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,84.51,6628.87,No
CUST00163,Female,1,No,No,56,No,No,DSL,No,No internet service,Yes,Yes,No internet service,Yes,Two year,No,Electronic check,83.93,2114.33,Yes
CUST00164,Female,1,Yes,No,53,No,No,DSL,No,Yes,No,Yes,No internet service,No,One year,No,Bank transfer,56.38,5798.67,No
CUST00165,Male,1,No,No,55,No,No,DSL,No,No,No internet service,Yes,Yes,No internet service,Two year,Yes,Electronic check,31.42,783.9,Yes
CUST00166,Female,1,Yes,No,67,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No,No internet service,One year,No,Electronic check,63.3,7766.01,No
CUST00167,Male,1,Yes,No,68,Yes,No phone service,No,No,No,No,Yes,Yes,No internet service,Two year,No,Electronic check,107.51,6499.75,Yes
CUST00168,Male,0,No,No,54,No,No,DSL,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,99.64,8595.03,No
CUST00169,Female,1,No,No,68,No,No phone service,DSL,No internet service,No,Yes,Yes,No,No internet service,Two year,No,Bank transfer,57.14,7008.41,No
CUST00170,Female,1,No,No,71,No,Yes,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Mailed check,106.73,1663.47,No
CUST00171,Male,0,No,No,0,Yes,Yes,No,Yes,No,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer,63.87,4217.99,Yes
CUST00172,Male,1,No,No,11,Yes,Yes,Fiber optic,No internet service,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,39.62,4890.92,No
CUST00173,Female,1,Yes,No,34,No,Yes,No,Yes,Yes,No internet service,Yes,No,Yes,One year,No,Electronic check,106.4,7459.64,Yes
CUST00174,Female,1,No,No,32,No,Yes,No,No internet service,No,No internet service,No internet service,No,Yes,Two year,No,Electronic check,69.36,4962.56,No
CUST00175,Female,1,No,Yes,24,Yes,No phone service,No,No,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,63.38,4300.71,Yes
CUST00176,Male,1,Yes,No,15,No,Yes,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,43.49,6422.74,No
